time,value
2025-03-27T03:51:06.942161418Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:07.951745184Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:08.952401352Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:09.972615564Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:10.972358798Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:11.992118811Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:13.082286558Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:14.091448809Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:15.092521864Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:16.043114711Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:17.063194352Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:18.031422655Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:19.032035189Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:20.033133599Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:21.032865795Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:22.033285725Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:23.034938867Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:24.044813974Z,"{""lat"":30.5162959,""lon"":76.6598664}"
2025-03-27T03:51:25.042838767Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:26.071043255Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:27.063574557Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:28.081084905Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:29.085755574Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:30.103943987Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:31.09503047Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:32.106001336Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:33.115180368Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:34.126717732Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:35.135798609Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:36.146059635Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:37.156458561Z,"{""lat"":30.5162951,""lon"":76.6599108}"
2025-03-27T03:51:38.166116526Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:39.175406007Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:40.184933454Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:41.193936626Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:42.195857501Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:43.206508293Z,"{""lat"":30.5163078,""lon"":76.6598386}"
2025-03-27T03:51:44.216578169Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:45.226784447Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:46.266655163Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:47.236543818Z,"{""lat"":30.5163041,""lon"":76.6598822}"
2025-03-27T03:51:48.245774652Z,"{""lat"":30.5163041,""lon"":76.6598822}"
